seq,ra,dec,mag,z_best,z_spec,z_phot,z_spec_quality,zphot_l68,zphot_u68,zphot_l95,zphot_u95,snr,m,m_std
859.0,53.09490970000001,-27.9222088,22.55,1.666,-99.0,1.666,-99.0,1.57,1.78,1.49,1.86,77.75,18100000000.0,3770000000.0
860.0,53.182373,-27.921213199999997,23.7,2.13,-99.0,2.13,-99.0,2.05,2.22,1.97,2.32,33.65,12300000000.0,3340000000.0
861.0,53.097702000000005,-27.920900300000003,26.18,0.661,-99.0,0.6609999999999999,-99.0,0.45,0.94,0.23,1.68,6.69,31400000.0,19600000.0
862.0,53.08728789999999,-27.921218900000003,23.49,0.4442,0.4442,0.373,1.0,0.27,0.46,0.18,0.52,44.51,302000000.0,37000000.0
864.0,53.113254500000004,-27.920888899999998,25.48,2.926,-99.0,2.926,-99.0,2.83,3.02,2.71,3.11,14.38,2170000000.0,576000000.0
866.0,53.1128159,-27.921148300000002,23.55,2.7034,2.7034,2.674,1.0,2.62,2.73,2.57,2.78,41.21,8210000000.0,1150000000.0
867.0,53.209964799999995,-27.9210262,22.61,1.617,-99.0,1.617,-99.0,1.52,1.71,1.46,1.95,60.62,17700000000.0,4400000000.0
868.0,53.161899600000005,-27.9206505,25.43,3.321,-99.0,3.321,-99.0,3.24,3.4,3.14,3.5,7.84,958000000.0,323000000.0
869.0,53.094703700000004,-27.9218826,22.33,0.555,-99.0,0.555,-99.0,0.51,0.6,0.45,0.69,60.8,1070000000.0,365000000.0
870.0,53.1779556,-27.920600899999997,25.53,0.454,-99.0,0.45399999999999996,-99.0,0.39,0.53,0.27,4.31,7.1,176000000.0,65400000.0
871.0,53.1156998,-27.9220943,22.32,0.045,1.137,0.045,3.0,0.03,0.06,0.02,0.12,45.26,5690000.0,5040000.0
872.0,53.1168938,-27.9240685,19.27,0.665,0.665,0.626,1.0,0.59,0.66,0.56,0.69,490.33,91200000000.0,14300000000.0
874.0,53.1755447,-27.920663800000003,24.53,2.113,-99.0,2.113,-99.0,2.02,2.21,1.92,2.31,24.91,1930000000.0,371000000.0
875.0,53.1258125,-27.920938500000002,23.34,1.594,2.1595,1.594,2.0,1.48,1.71,1.39,1.85,29.77,2620000000.0,812000000.0
876.0,53.154796600000005,-27.9203587,25.46,1.005,-99.0,1.005,-99.0,0.87,1.12,0.68,1.22,10.44,206000000.0,93500000.0
877.0,53.171249399999994,-27.920461699999997,24.43,2.928,-99.0,2.928,-99.0,2.85,3.01,2.77,3.09,24.83,11200000000.0,2560000000.0
878.0,53.1138115,-27.9202271,24.84,0.568,-99.0,0.568,-99.0,0.5,0.63,0.44,0.71,10.1,253000000.0,59700000.0
